star teffs te tefferr loggs le loggerr vts vterr fehs fe feherr n1 n2 m1 em1 m2 em2 plx plxerr logL logLerr  planet
HD21161 5923  25  65 4.24 0.04 0.11 1.14 0.02  0.09 0.02 0.05 256 35 1.1254 0.07862 1.092 0.027 20.27 0.73  0.2946 0.0312 no
HD21251 4920  60  84 4.41 0.12 0.16 0.68 0.20 -0.09 0.03 0.06 254 34 0.6178 0.19418 0.782 0.020 21.52 1.31 -0.4580 0.0528 no
HD21759 5142  32  68 4.49 0.05 0.11 0.43 0.12 -0.61 0.02 0.06 257 33 0.6076 0.12917 0.716 0.017 19.45 1.53 -0.4686 0.0683 no
HD21977 5930  23  64 4.45 0.03 0.10 1.03 0.02  0.10 0.02 0.05 255 36 1.2417 0.08211 1.079 0.031 18.00 0.94  0.1294 0.0453 no
HD22177 5666  22  63 4.26 0.03 0.10 1.02 0.02  0.20 0.02 0.05 259 35 1.2647 0.05973 1.034 0.021 19.28 0.51  0.2482 0.0229 no
HD22249 5773  27  65 4.63 0.04 0.11 0.96 0.04 -0.06 0.02 0.05 260 35 1.1819 0.08307 0.964 0.034 18.90 0.76 -0.1186 0.0349 no
HD22282 5433  24  64 4.32 0.06 0.12 0.77 0.04  0.12 0.02 0.05 255 36 0.8334 0.11025 0.928 0.027 20.00 0.98 -0.0657 0.0425 no
HD22897 4837  69  91 4.44 0.16 0.19 0.69 0.23 -0.25 0.04 0.06 260 33 0.4057 0.23877 0.715 0.015 28.57 1.77 -0.7002 0.0538 no
HD22918 4924  43  73 3.61 0.10 0.14 0.73 0.08  0.02 0.03 0.06 257 35 1.1200 0.13985 1.152 0.071 20.82 0.59  0.6017 0.0246 no
HD23030 5951  35  69 4.37 0.04 0.11 1.22 0.04  0.20 0.03 0.06 255 35 1.7508 0.10566 1.165 0.037 14.42 0.92  0.3648 0.0554 no
HD23472 4813  94 111 4.38 0.19 0.21 0.43 0.44 -0.19 0.06 0.08 256 33 0.4383 0.25959 0.734 0.018 24.34 0.99 -0.6153 0.0353 no
HD23901 5264  17  62 3.93 0.03 0.10 0.84 0.02 -0.40 0.01 0.05 256 34 1.0413 0.06927 0.929 0.011 18.84 0.73  0.3660 0.0336 no
