star teffs te tefferr loggs le loggerr vts vterr fehs fe feherr n1 n2 m1 em1 m2 em2 plx plxerr logL logLerr  planet
HD143638 5954  18  62 4.48 0.01 0.10 1.04 0.03 -0.27 0.01 0.05 256 35 1.0855 0.07160 0.949 0.035 17.11 1.11  0.0480 0.0563 no
HD143790 6557  41  72 4.11 0.05 0.11 2.05 0.06 -0.06 0.03 0.06 224 36 2.6300 0.08727 1.560 0.031 18.11 0.55  0.9699 0.0263 no
HD144342 5403  32  68 4.47 0.06 0.12 0.90 0.05  0.07 0.02 0.05 259 34 0.8022 0.11790 0.905 0.029 20.08 1.10 -0.2419 0.0475 no
HD144846 6102  23  64 4.52 0.03 0.10 1.11 0.03  0.13 0.02 0.05 256 35 1.3137 0.09966 1.143 0.027 17.48 1.27  0.1335 0.0631 no
HD144880 6152  35  69 4.38 0.04 0.11 1.33 0.05 -0.30 0.02 0.05 250 35 1.6469 0.08089 1.040 0.034 18.50 0.66  0.3859 0.0309 no
HD145377 6054  16  62 4.53 0.03 0.10 1.11 0.02  0.12 0.01 0.05 258 35 1.4028 0.07953 1.124 0.026 18.17 0.94  0.1383 0.0449 yes
HD145927 5819  16  62 4.41 0.02 0.10 0.93 0.02 -0.03 0.01 0.05 254 35 0.8354 0.07444 0.994 0.036 20.29 1.16 -0.0354 0.0496 no
HD147147 4856  78  98 4.51 0.17 0.20 0.71 0.27 -0.17 0.04 0.06 259 32 0.5081 0.29122 0.736 0.019 20.34 2.18 -0.6657 0.0930 no
HD147195 5557  24  64 4.48 0.04 0.11 0.68 0.04 -0.05 0.02 0.05 257 35 1.1652 0.10562 0.919 0.032 17.64 1.18 -0.0410 0.0581 no
HD148156 6251  25  65 4.51 0.05 0.11 1.36 0.03  0.25 0.02 0.05 249 35 1.5077 0.09057 1.211 0.020 19.38 0.75  0.2452 0.0336 yes
HD148211 5922  21  63 4.34 0.03 0.10 1.31 0.03 -0.62 0.01 0.05 232 34 1.3224 0.06944 0.871 0.010 19.32 0.74  0.2644 0.0332 no
HD148577 5713  15  61 4.29 0.03 0.10 0.95 0.02 -0.09 0.01 0.05 258 35 1.2310 0.07966 0.957 0.017 18.49 0.96  0.2209 0.0450 no
HD149200 6416  47  76 4.64 0.05 0.11 1.74 0.06  0.15 0.03 0.06 249 35 2.9760 0.08988 1.295 0.022 18.58 0.58  0.4558 0.0271 no
HD149396 5657  23  64 4.47 0.03 0.10 0.91 0.03  0.19 0.02 0.05 254 35 1.2915 0.08541 1.005 0.033 17.43 0.97  0.0446 0.0483 no
HD149724 5747  32  68 4.24 0.06 0.12 1.08 0.03  0.37 0.03 0.06 258 35 1.2004 0.10671 1.067 0.026 18.07 0.77  0.2702 0.0370 no
HD150139 5968  26  65 4.29 0.04 0.11 1.29 0.04 -0.51 0.02 0.05 244 34 1.3818 0.08168 0.914 0.013 18.34 0.72  0.3469 0.0340 no
HD150437 5826  30  67 4.29 0.04 0.11 1.09 0.03  0.30 0.02 0.06 259 35 1.1231 0.08873 1.083 0.028 19.22 0.88  0.2151 0.0397 no
HD150474 5425  25  65 4.01 0.04 0.11 0.96 0.03  0.01 0.02 0.05 257 35 1.4013 0.08071 1.088 0.032 20.46 0.77  0.4673 0.0326 no
HD151692 4737 115 129 4.40 0.25 0.27 0.55 0.57 -0.07 0.06 0.08 258 32 0.4046 0.33826 0.731 0.018 29.16 1.53 -0.6977 0.0455 no
HD151772 6631  60  84 4.81 0.08 0.13 2.27 0.18 -0.36 0.04 0.06 200 34 3.7708 0.12497 1.131 0.022 18.75 0.63  0.4459 0.0291 no
HD151933 5849  22  63 4.29 0.03 0.10 1.03 0.03 -0.21 0.02 0.05 260 36 0.7060 0.11269 0.942 0.036 14.60 1.28  0.0203 0.0761 no
HD152433 6144  27  65 4.49 0.03 0.10 1.19 0.04 -0.10 0.02 0.05 256 35 1.8910 0.08874 1.106 0.029 17.68 1.04  0.3336 0.0510 no
HD152533 4822 101 117 4.36 0.21 0.23 0.40 0.45 -0.04 0.06 0.07 257 34 0.4220 0.29006 0.760 0.020 24.88 1.24 -0.6085 0.0432 no
HD153276 6000  32  68 4.48 0.05 0.11 1.12 0.04  0.04 0.03 0.06 258 36 1.4829 0.10232 1.086 0.032 16.35 0.81  0.1969 0.0430 no
HD153950 6074  15  61 4.39 0.03 0.10 1.23 0.01 -0.01 0.01 0.05 255 36 1.5874 0.06440 1.118 0.027 20.19 0.70  0.3377 0.0301 yes
HD154195 5961  24  64 4.48 0.04 0.11 1.01 0.03 -0.19 0.02 0.05 256 35 1.0374 0.13121 0.986 0.037 18.36 1.78  0.0304 0.0842 no
HD154387 4719  65  88 4.50 0.17 0.20 0.08 0.94 -0.25 0.02 0.06 260 30 0.4025 0.23446 0.700 0.002 35.93 1.67 -0.8066 0.0403 no
HD155717 4949  60  84 4.48 0.11 0.15 0.76 0.16 -0.13 0.03 0.06 255 32 0.4462 0.19732 0.756 0.019 22.59 1.72 -0.6591 0.0661 no
HD155968 5790  26  65 4.42 0.04 0.11 0.92 0.03  0.16 0.02 0.05 255 35 1.0237 0.09158 1.044 0.032 18.26 0.92  0.0340 0.0437 no
HD156079 5892  17  62 4.24 0.03 0.10 1.16 0.02  0.28 0.01 0.05 256 34 1.7042 0.07337 1.206 0.048 16.53 0.73  0.4657 0.0383 no
HD156098 6517  44  74 4.20 0.05 0.11 2.06 0.05  0.18 0.03 0.06 241 35 3.9341 0.07731 1.698 0.021 20.67 0.37  1.0442 0.0155 no
HD156411 5910  16  62 3.99 0.01 0.10 1.31 0.01 -0.11 0.01 0.05 257 34 1.7105 0.03803 1.249 0.020 18.25 0.49  0.7226 0.0233 yes
HD156423 5184  37  70 4.46 0.06 0.12 0.21 0.19 -0.43 0.02 0.06 256 34 0.6271 0.14640 0.753 0.019 18.32 1.56 -0.4107 0.0739 no
HD156517 5013  46  75 4.45 0.11 0.15 0.81 0.13  0.03 0.03 0.06 256 35 0.6116 0.18356 0.814 0.022 22.49 1.49 -0.4698 0.0575 no
HD156991 5934  32  68 4.57 0.02 0.10 0.99 0.05 -0.07 0.03 0.06 258 36 0.9995 0.10233 1.014 0.034 18.10 1.52 -0.0836 0.0729 no
HD157668 5195  40  72 4.49 0.06 0.12 0.65 0.10 -0.23 0.02 0.06 257 33 0.6593 0.13344 0.794 0.022 17.80 1.23 -0.4153 0.0600 no
HD160089 6312  57  82 4.78 0.05 0.11 1.60 0.10  0.11 0.04 0.07 255 35 2.6419 0.11175 1.202 0.025 19.45 1.03  0.2357 0.0459 no
HD160836 4791  63  87 4.49 0.15 0.18 0.92 0.20 -0.16 0.04 0.07 253 32 0.3802 0.21587 0.710 0.012 29.98 1.48 -0.7950 0.0428 no
HD161256 5652  21  63 4.27 0.03 0.10 0.93 0.02  0.14 0.02 0.05 258 34 0.8815 0.08018 0.986 0.030 18.08 0.91  0.0772 0.0437 no
HD161555 5850  25  65 4.15 0.04 0.11 1.23 0.02  0.12 0.02 0.05 258 36 1.4151 0.08779 1.159 0.046 18.08 0.84  0.4626 0.0403 no
HD161566 6230  24  64 4.20 0.04 0.11 1.67 0.03 -0.28 0.01 0.05 242 36 2.2741 0.07020 1.252 0.044 17.00 0.46  0.7279 0.0235 no
HD163102 6433  57  82 4.64 0.10 0.14 1.94 0.09  0.00 0.04 0.07 248 33 2.5745 0.14450 1.235 0.026 19.14 0.64  0.3975 0.0290 no
HD163436 5030  73  94 4.43 0.14 0.17 0.45 0.24 -0.07 0.04 0.06 257 35 0.5566 0.22970 0.796 0.022 20.80 1.54 -0.4849 0.0643 no
HD165131 5870  15  61 4.45 0.03 0.10 0.99 0.02  0.06 0.01 0.05 256 35 1.0705 0.07936 1.041 0.032 17.79 0.92  0.0473 0.0449 no
HD166745 5621  36  69 4.31 0.05 0.11 0.98 0.04  0.25 0.03 0.06 259 35 0.8875 0.12410 0.996 0.032 17.94 1.30  0.0306 0.0629 no
HD167677 5474  20  63 4.43 0.03 0.10 0.65 0.03 -0.29 0.01 0.05 256 32 0.9908 0.08860 0.845 0.025 17.29 1.04 -0.0875 0.0522 yes
HD168769 5361  34  68 4.45 0.04 0.11 0.87 0.06 -0.01 0.02 0.06 258 34 0.5822 0.11511 0.872 0.027 19.93 1.47 -0.3747 0.0640 no
HD168863 4905 155 166 4.40 0.29 0.31 0.56 0.56  0.16 0.07 0.09 258 36 0.5753 0.39794 0.816 0.022 24.31 1.46 -0.4843 0.0521 no
HD168870 5325  21  63 4.43 0.04 0.11 0.67 0.04 -0.32 0.02 0.05 257 34 0.7780 0.12040 0.805 0.025 17.48 1.48 -0.2405 0.0735 no
HD170958 5599  49  77 4.83 0.07 0.12 1.38 0.08 -0.04 0.03 0.06 254 33 1.0872 0.16866 0.913 0.031 18.54 1.78 -0.4080 0.0833 no
HD171825 4908  50  78 4.48 0.12 0.16 0.39 0.25 -0.12 0.03 0.06 256 32 0.5276 0.1799  0.757 0.018 27.02 1.31 -0.6008 0.0421 no
HD171942 5615  21  63 4.42 0.03 0.10 0.72 0.04 -0.10 0.02 0.05 258 35 0.8143 0.08833 0.918 0.035 19.44 1.16 -0.1186 0.0518 no
HD172568 5728  22  63 4.58 0.03 0.10 0.78 0.04 -0.37 0.02 0.05 260 34 1.069  0.08202 0.862 0.031 20.88 1.09 -0.1258 0.0453 no
HD172643 5645  19  62 4.50 0.03 0.10 0.73 0.03 -0.15 0.02 0.05 257 36 0.7281 0.09210 0.903 0.033 18.84 1.22 -0.2379 0.0562 no
HD173885 6264  35  69 4.37 0.03 0.10 1.61 0.05 -0.20 0.02 0.05 246 36 2.4771 0.07953 1.206 0.048 18.77 0.86  0.6045 0.0397 no
HD174153 6196  24  64 4.49 0.04 0.11 1.34 0.03 -0.08 0.02 0.05 252 36 1.6510 0.08025 1.121 0.026 19.70 0.76  0.2893 0.0335 no
HD176354 5271  40  72 3.84 0.07 0.12 1.07 0.05  0.27 0.03 0.06 258 35 1.0725 0.10607 1.147 0.032 21.68 0.57  0.4711 0.0228 no
HD176535 4727  86 104 4.36 0.19 0.21 0.54 0.43 -0.15 0.05 0.07 258 32 0.3103 0.25919 0.707 0.011 29.34 1.26 -0.7766 0.0373 no
HD176666 6103  34  68 4.63 0.03 0.10 1.18 0.06 -0.37 0.03 0.06 246 35 1.6570 0.07644 0.948 0.032 17.02 0.72  0.1246 0.0367 no
HD177033 4918  71  92 4.50 0.16 0.19 0.45 0.28 -0.13 0.04 0.06 257 33 0.4585 0.24978 0.749 0.019 23.29 1.73 -0.6782 0.0645 no
HD177122 6021  18  62 4.52 0.03 0.10 1.03 0.02 -0.10 0.01 0.05 257 36 1.1512 0.07802 1.041 0.033 19.27 0.95  0.0530 0.0428 no
HD178904 5727  18  62 4.41 0.03 0.10 0.98 0.02  0.09 0.01 0.05 257 35 1.1866 0.07980 0.996 0.032 17.63 0.90  0.0892 0.0443 no
HD179346 6229  44  74 4.76 0.04 0.11 1.35 0.06 -0.03 0.03 0.06 250 35 2.0506 0.09150 1.121 0.025 18.84 0.85  0.1227 0.0391 no
HD181249 4906  48  76 4.25 0.11 0.15 0.24 0.24 -0.13 0.03 0.06 255 34 0.4016 0.17593 0.770 0.019 23.47 1.32 -0.4900 0.0488 no
HD181428 6151  30  67 4.45 0.06 0.12 1.29 0.03  0.06 0.02 0.05 250 36 1.9040 0.09345 1.178 0.022 21.92 0.63  0.3786 0.0249 no
HD181720 5794  17  62 4.25 0.02 0.10 1.16 0.02 -0.53 0.01 0.05 251 33 1.3111 0.08361 0.919 0.013 17.22 1.16  0.3127 0.0585 yes
HD185283 4848 140 152 4.37 0.29 0.31 0.27 0.87 -0.06 0.04 0.07 260 34 0.4794 0.36920 0.770 0.019 31.00 1.01 -0.5537 0.0282 no
HD186302 5662  19  62 4.44 0.03 0.10 0.78 0.03 -0.03 0.01 0.05 255 36 0.8406 0.08170 0.947 0.035 18.56 0.98 -0.1103 0.0458 no
HD187760 4618  88 106 4.45 0.22 0.24 0.23 1.85 -0.32 0.19 0.19 258 27 0.3855 0.28696 0.703 0.008 36.77 1.42 -0.8129 0.0335 no
HD188091 5120  60  84 4.32 0.11 0.15 0.87 0.12  0.08 0.04 0.06 260 36 0.5165 0.19694 0.847 0.024 19.08 1.46 -0.3765 0.0664 no
HD188815 6217  49  77 4.34 0.03 0.10 1.31 0.08 -0.53 0.03 0.06 236 34 1.3163 0.08192 0.951 0.026 19.11 0.84  0.3468 0.0381 no
HD189004 5094  39  71 4.36 0.08 0.13 0.67 0.10 -0.07 0.02 0.06 256 33 0.6671 0.15967 0.819 0.022 19.12 1.46 -0.3143 0.0663 no
HD189987 4746  84 103 4.25 0.19 0.21 0.09 1.62 -0.06 0.03 0.06 257 33 0.3907 0.26758 0.754 0.018 24.81 1.33 -0.5596 0.0465 no
HD190204 5476  51  78 4.63 0.07 0.12 1.14 0.08 -0.02 0.04 0.06 255 35 1.1922 0.18511 0.903 0.031 13.97 1.59 -0.2065 0.0988 no
HD190524 5825  20  63 4.50 0.03 0.10 0.85 0.03 -0.13 0.01 0.05 257 35 1.0964 0.08356 0.964 0.039 18.80 1.03 -0.0056 0.0475 no
HD190613 5776  18  62 4.33 0.03 0.10 0.95 0.02  0.00 0.01 0.05 259 35 1.0117 0.07602 0.981 0.030 19.04 0.89  0.1147 0.0406 no
HD191033 6206  45  75 4.47 0.05 0.11 1.35 0.06 -0.19 0.03 0.06 247 34 1.4889 0.09046 1.071 0.026 20.29 0.65  0.2673 0.0278 no
HD191285 4634  75  96 4.41 0.19 0.21 0.38 0.48 -0.28 0.02 0.05 257 29 0.3514 0.25675 0.700 0.000 31.66 1.40 -0.8071 0.0384 no
HD191797 5061  48  76 4.50 0.09 0.13 0.86 0.11 -0.06 0.03 0.06 257 33 0.7836 0.17115 0.810 0.022 19.90 1.48 -0.3957 0.0645 no
HD191902 4691  74  95 4.25 0.17 0.20 0.31 0.44 -0.18 0.05 0.07 254 31 0.4531 0.27677 0.722 0.017 20.96 1.91 -0.5155 0.0791 no
HD192865 6307  37  70 4.44 0.03 0.10 1.59 0.04  0.13 0.03 0.06 254 36 2.5936 0.06655 1.319 0.020 19.13 0.58  0.5663 0.0263 no
HD193406 4728  70  92 4.50 0.18 0.21 0.54 0.31 -0.34 0.02 0.06 261 30 0.2919 0.25989 0.700 0.000 30.09 1.87 -0.9427 0.0539 no
HD194717 5247  34  68 4.26 0.07 0.12 0.33 0.11 -0.28 0.02 0.06 257 35 0.5185 0.12103 0.808 0.024 20.11 0.92 -0.2723 0.0397 no
HD195145 5625  20  63 4.41 0.03 0.10 0.82 0.03  0.17 0.02 0.05 260 35 0.9108 0.10154 0.989 0.034 18.34 1.38 -0.0568 0.0653 no
HD195200 6201  33  68 4.44 0.04 0.11 1.25 0.04 -0.08 0.02 0.05 257 34 1.6114 0.08188 1.130 0.023 18.11 0.68  0.3302 0.0326 no
HD196384 6611  69  91 4.79 0.05 0.11 1.78 0.12 -0.13 0.04 0.07 235 35 2.9000 0.09842 1.208 0.027 19.27 0.67  0.3466 0.0302 no
HD196397 5378  63  87 4.33 0.10 0.14 0.68 0.11  0.29 0.04 0.07 258 35 0.6224 0.18587 0.927 0.030 19.92 1.50 -0.2202 0.0654 no
HD197300 6022  42  73 4.69 0.04 0.11 1.21 0.05  0.02 0.03 0.06 247 35 1.3568 0.09969 1.060 0.025 17.54 0.96 -0.0453 0.0475 no
HD197921 4913  90 108 4.36 0.18 0.21 0.34 0.51  0.13 0.06 0.08 261 35 0.5419 0.25709 0.817 0.021 24.91 1.29 -0.4674 0.0449 no
HD199086 6149  39  71 4.65 0.05 0.11 1.21 0.05  0.18 0.03 0.06 256 34 1.9858 0.09802 1.172 0.024 19.50 0.83  0.1963 0.0369 no
HD199289 5925  42  73 4.62 0.03 0.10 1.30 0.11 -0.98 0.03 0.06 207 31 1.5174 0.07719 0.791 0.010 18.95 0.76  0.0450 0.0348 no
HD199868 6152  22  63 4.45 0.03 0.10 1.26 0.03 -0.13 0.02 0.05 256 35 1.5830 0.06913 1.088 0.024 18.74 0.71  0.2987 0.0329 no
HD200083 4828  95 112 4.42 0.19 0.21 0.42 0.43 -0.09 0.05 0.07 259 33 0.4665 0.27450 0.749 0.019 25.72 1.48 -0.6228 0.0499 no
HD200143 5112  42  73 4.46 0.08 0.13 0.96 0.09  0.02 0.03 0.06 256 34 0.6510 0.16635 0.832 0.023 18.21 1.51 -0.4188 0.0720 no
HD200349 4844  66  89 4.50 0.14 0.17 0.59 0.26 -0.26 0.03 0.06 258 33 0.4706 0.20234 0.714 0.014 30.45 1.35 -0.6932 0.0385 no
HD200538 6042  18  62 4.38 0.03 0.10 1.22 0.02  0.10 0.01 0.05 255 35 1.5269 0.07247 1.143 0.026 17.70 0.76  0.3217 0.0372 no
HD200633 5853  22  63 4.51 0.03 0.10 1.01 0.03  0.05 0.02 0.05 258 36 1.1617 0.08333 1.030 0.032 19.12 1.03  0.0178 0.0467 no
HD201161 4884  83 102 4.36 0.18 0.21 0.63 0.30 -0.04 0.04 0.07 256 34 0.3859 0.25920 0.765 0.019 24.25 1.38 -0.6251 0.0494 no
HD201422 5841  35  69 4.63 0.04 0.11 0.98 0.05 -0.16 0.03 0.06 256 34 1.1689 0.09114 0.956 0.036 20.06 0.94 -0.1030 0.0407 no
HD201496 5974  26  65 4.44 0.03 0.10 1.12 0.03 -0.04 0.02 0.05 257 35 1.1798 0.07863 1.045 0.036 19.04 0.90  0.1300 0.0410 no
HD202209 6009  37  70 4.68 0.04 0.11 1.19 0.05 -0.01 0.03 0.06 255 36 1.3451 0.10772 1.054 0.029 17.83 1.17 -0.0428 0.0569 no
HD202389 4732  85 104 4.43 0.20 0.22 0.49 0.39 -0.25 0.05 0.07 257 33 0.4123 0.29131 0.706 0.010 24.39 1.68 -0.7213 0.0598 no
HD202819 4737  79  99 4.40 0.20 0.22 0.59 0.36 -0.26 0.04 0.07 260 33 0.3750 0.28558 0.704 0.009 27.12 1.76 -0.7307 0.0563 no
HD202871 6055  16  62 4.54 0.04 0.11 1.04 0.02 -0.09 0.01 0.05 255 36 1.2510 0.08386 1.056 0.032 18.58 0.84  0.0789 0.0392 no
HD203335 6306  34  68 4.56 0.05 0.11 1.44 0.05 -0.04 0.03 0.06 253 35 2.2494 0.09179 1.186 0.024 18.23 0.68  0.3842 0.0323 no
HD203771 4963 122 135 4.43 0.23 0.25 0.50 0.43  0.13 0.06 0.08 257 35 0.5017 0.33210 0.811 0.022 19.92 1.35 -0.5533 0.0588 no
HD203897 5184  33  68 4.42 0.06 0.12 0.65 0.07 -0.18 0.02 0.05 257 33 0.4942 0.12681 0.797 0.021 21.51 1.38 -0.4741 0.0557 no
HD204287 5743  18  62 4.15 0.02 0.10 1.10 0.02 -0.04 0.01 0.05 260 35 1.2574 0.05460 1.028 0.018 20.26 0.68  0.3792 0.0291 no
HD205294 6370  32  68 4.30 0.04 0.11 1.71 0.05 -0.25 0.02 0.05 226 36 1.9874 0.07021 1.202 0.043 18.61 0.46  0.6080 0.0214 no
HD205591 6575  61  85 4.75 0.05 0.11 1.85 0.09 -0.08 0.04 0.06 218 33 3.5607 0.09701 1.251 0.028 18.60 0.66  0.4663 0.0308 no
HD206116 6231  38  71 4.57 0.04 0.11 1.36 0.04  0.24 0.03 0.06 253 35 2.2241 0.09096 1.236 0.022 17.87 0.83  0.3485 0.0403 no
HD206630 4853  65  88 4.48 0.13 0.16 0.06 1.13 -0.41 0.03 0.06 258 32 0.446  0.19682 0.703 0.006 25.62 1.28 -0.6934 0.0433 no
HD207190 6182  27  65 4.33 0.03 0.10 1.51 0.04 -0.42 0.02 0.05 232 35 1.4227 0.07640 0.991 0.030 16.79 0.75  0.3808 0.0387 no
HD207699 4874  67  89 4.36 0.15 0.18 0.63 0.22 -0.12 0.05 0.07 260 34 0.4331 0.22274 0.756 0.020 25.86 1.45 -0.5785 0.0487 no
HD207832 5718  27  65 4.45 0.04 0.11 0.86 0.04  0.15 0.02 0.05 254 36 0.8203 0.09172 1.006 0.028 18.37 0.92 -0.1138 0.0435 no
HD208068 6007  22  63 4.64 0.02 0.10 1.17 0.04 -0.38 0.02 0.05 238 33 1.2420 0.07314 0.929 0.034 18.57 1.00 -0.0380 0.0467 no
HD208672 5986  28  66 4.61 0.03 0.10 1.07 0.03  0.13 0.02 0.05 258 36 1.5482 0.08174 1.099 0.026 17.93 0.90  0.0815 0.0435 no
HD209449 5854  29  66 4.16 0.03 0.10 1.19 0.03  0.41 0.02 0.06 259 36 1.34   0.06052 1.178 0.041 19.83 0.50  0.4301 0.0219 no
HD209566 5500  26  65 4.38 0.04 0.11 0.75 0.04  0.12 0.02 0.05 258 35 0.8195 0.08925 0.942 0.032 20.54 0.97 -0.1117 0.0410 no
HD210272 5713  20  63 4.13 0.02 0.10 1.16 0.02 -0.22 0.02 0.05 258 35 1.5494 0.05487 1.039 0.023 19.01 0.63  0.4808 0.0287 no
HD210320 5597  26  65 4.31 0.05 0.11 0.87 0.03  0.11 0.02 0.05 258 35 0.8666 0.10828 0.962 0.031 17.13 0.99  0.0128 0.0501 no
HD210329 4965  52  79 4.40 0.11 0.15 0.45 0.20 -0.18 0.03 0.06 260 33 0.6057 0.18323 0.772 0.020 20.55 1.30 -0.4408 0.0549 no
HD210507 4998  59  84 4.42 0.13 0.16 0.69 0.19  0.07 0.05 0.07 258 34 0.5697 0.21126 0.818 0.023 20.34 1.42 -0.4759 0.0606 no
HD210573 4918  74  95 4.48 0.15 0.18 0.68 0.25 -0.07 0.06 0.07 258 34 0.5568 0.23517 0.771 0.022 22.44 1.52 -0.5739 0.0588 no
HD211188 5053  51  78 4.41 0.09 0.13 0.42 0.18 -0.12 0.03 0.06 258 34 0.4916 0.16843 0.787 0.021 21.14 1.48 -0.5109 0.0608 no
HD211317 5965  25  65 4.30 0.04 0.11 1.21 0.02  0.27 0.02 0.05 256 35 1.5601 0.07162 1.188 0.030 20.35 0.57  0.3887 0.0243 no
HD211534 5032  40  72 4.43 0.08 0.13 0.14 0.29 -0.31 0.02 0.05 258 32 0.4588 0.18812 0.743 0.019 17.60 1.91 -0.5682 0.0942 no
HD211583 4761 147 158 4.39 0.31 0.33 0.26 1.43  0.05 0.04 0.07 258 33 0.3571 0.41171 0.747 0.017 25.56 1.39 -0.7331 0.0472 no
HD212036 5687  19  62 4.41 0.02 0.10 0.80 0.02 -0.01 0.01 0.05 257 35 0.9700 0.08256 0.957 0.035 18.52 1.21 -0.0104 0.0567 no
HD212231 5762  21  63 4.20 0.02 0.10 1.01 0.03 -0.30 0.02 0.05 257 36 0.9760 0.05631 0.918 0.013 18.84 0.65  0.2249 0.0299 no
HD212918 5051  49  77 4.48 0.09 0.13 0.41 0.18 -0.21 0.03 0.06 259 34 0.5473 0.17510 0.767 0.020 21.15 1.66 -0.5350 0.0681 no
HD213852 4943  69  91 4.24 0.15 0.18 0.40 0.37  0.15 0.08 0.10 257 35 0.4118 0.20823 0.826 0.022 22.86 0.89 -0.4560 0.0338 no
HD214094 6288  26  65 4.28 0.03 0.10 1.46 0.03 -0.01 0.02 0.05 257 34 2.2835 0.05893 1.334 0.036 18.38 0.46  0.6658 0.0217 no
HD214383 4876  50  78 4.47 0.11 0.15 0.59 0.19 -0.16 0.03 0.06 258 34 0.4097 0.21734 0.738 0.018 22.24 2.29 -0.7120 0.0894 no
HD214867 5807  42  73 4.66 0.05 0.11 1.23 0.06  0.01 0.03 0.06 255 35 1.0439 0.12265 0.991 0.029 18.37 1.27 -0.1923 0.0600 no
HD214954 5738  42  73 4.48 0.08 0.13 0.99 0.05  0.14 0.03 0.06 258 36 1.3705 0.1312  1.019 0.034 18.53 0.82  0.0851 0.0384 no
HD214998 4847  86 104 4.37 0.17 0.20 0.77 0.31  0.06 0.07 0.09 258 34 0.4144 0.25692 0.777 0.021 26.14 1.68 -0.6174 0.0558 no
HD215497 5110  90 108 4.40 0.18 0.21 0.90 0.22  0.20 0.06 0.08 258 36 0.7278 0.25214 0.871 0.025 22.94 1.09 -0.3110 0.0412 yes
HD215625 6282  30  67 4.58 0.04 0.11 1.35 0.04  0.10 0.02 0.05 253 36 1.6930 0.08773 1.193 0.023 17.63 0.80  0.2342 0.0394 no
HD215722 4728 105 120 4.40 0.23 0.25 0.71 0.41 -0.10 0.05 0.07 256 32 0.3392 0.31913 0.715 0.015 26.17 1.51 -0.7775 0.0501 no
HD215902 5454  29  66 4.46 0.04 0.11 0.53 0.07 -0.25 0.02 0.05 255 34 0.6739 0.09928 0.841 0.028 19.62 1.13 -0.2913 0.0500 no
HD215906 6259  58  83 4.56 0.07 0.12 1.55 0.11 -0.28 0.04 0.06 236 34 1.9339 0.11334 1.048 0.024 17.58 0.55  0.3056 0.0271 no
HD216008 5773  17  62 4.38 0.03 0.10 0.91 0.02 -0.04 0.01 0.05 257 35 1.0038 0.06772 0.967 0.037 19.45 0.73  0.0604 0.0326 no
HD216215 5220  39  71 4.45 0.07 0.12 0.58 0.09 -0.20 0.03 0.06 257 35 0.5071 0.15560 0.799 0.023 18.43 1.54 -0.4809 0.0725 no
HD217221 5184  46  75 4.45 0.09 0.13 0.77 0.10  0.01 0.03 0.06 258 35 0.6650 0.15863 0.845 0.024 20.10 1.23 -0.3753 0.0531 no
HD217395 5916  14  61 4.52 0.03 0.10 0.95 0.02 -0.13 0.01 0.05 256 36 1.0985 0.06937 0.996 0.036 20.20 0.82  0.0021 0.0352 no
HD217786 5966  19  62 4.35 0.04 0.11 1.12 0.02 -0.14 0.01 0.05 259 36 1.3501 0.07984 1.020 0.029 18.23 0.72  0.2762 0.0343 yes
HD217958 5970  45  75 4.45 0.07 0.12 1.29 0.05  0.28 0.03 0.06 260 35 1.4143 0.12405 1.131 0.027 17.62 0.83  0.1976 0.0409 no
HD218340 5889  28  66 4.42 0.06 0.12 0.97 0.03  0.09 0.02 0.05 255 35 0.9787 0.12136 1.056 0.031 17.67 1.08  0.0440 0.0530 no
HD218379 5938  22  63 4.11 0.02 0.10 1.24 0.02  0.15 0.02 0.05 255 35 1.6071 0.05943 1.274 0.055 16.59 0.63  0.5838 0.0329 no
HD218750 5166  55  81 4.39 0.10 0.14 0.57 0.12  0.08 0.04 0.06 258 36 0.7083 0.18856 0.861 0.026 19.49 1.57 -0.2939 0.0699 no
HD218885 5763  25  65 4.46 0.06 0.12 0.80 0.04 -0.28 0.02 0.05 258 36 0.6461 0.12030 0.895 0.033 19.43 1.18 -0.2139 0.0527 no
HD219495 4787 102 118 4.40 0.23 0.25 0.93 0.36  0.13 0.08 0.09 258 33 0.4307 0.2941  0.767 0.018 35.48 1.09 -0.6523 0.0266 no
HD220456 5887  19  62 4.50 0.03 0.10 1.01 0.02 -0.02 0.02 0.05 256 34 0.9886 0.07784 1.016 0.032 18.51 0.90 -0.0321 0.0422 no
HD220894 6282  29  66 4.60 0.04 0.11 1.35 0.04  0.02 0.02 0.05 252 35 1.9017 0.08521 1.177 0.025 20.56 0.88  0.2647 0.0371 no
HD221343 5848  18  62 4.54 0.04 0.11 0.99 0.02  0.11 0.01 0.05 259 36 1.0948 0.08458 1.039 0.027 20.15 0.91 -0.0394 0.0392 no
HD221638 6360  50  78 4.53 0.08 0.13 1.43 0.08 -0.21 0.04 0.06 236 33 1.5296 0.11823 1.104 0.035 20.19 0.57  0.2616 0.0245 no
HD221974 5170 119 133 4.30 0.20 0.22 0.74 0.26  0.30 0.08 0.09 260 36 0.5689 0.31941 0.881 0.026 19.03 1.73 -0.2977 0.0789 no
HD222721 5361  24  64 4.43 0.05 0.11 0.52 0.05 -0.31 0.02 0.05 258 34 0.7505 0.11085 0.816 0.026 19.97 1.22 -0.2444 0.0530 no
