ALL abundances NOT listed below differ from solar by   0.00 dex
Linelist with cut at 2.99sigma, since 3.00 sigma doesn't work                   
Teff= 6423   log g= 4.83                              vt= 2.60 M/H= 0.00        

Abundance Results for Species Fe I         (input abundance =   7.470)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
 22419.982   26.00000   6.220  -0.301    39.00    -5.760     7.440   -0.034
 24552.005   26.00000   5.920  -1.023    21.20    -6.064     7.622    0.147
 24648.429   26.00000   6.270  -0.253    30.10    -5.913     7.316   -0.158
average abundance =  7.474     std. deviation =  0.156     #lines = 218
E.P. correlation:  slope =   0.001  intercept =   7.470  corr. coeff. =   0.004
R.W. correlation:  slope =  -0.002  intercept =   7.464  corr. coeff. =  -0.005
wav. correl.:  slope =   5.091D-06  intercept =   7.396  corr. coeff. =   0.090

Abundance Results for Species Fe II        (input abundance =   7.470)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
 10427.305   26.10000   6.080  -1.662     8.10    -6.110     7.108   -0.365
 10501.498   26.10000   5.550  -1.926    16.80    -5.796     7.277   -0.196
 10862.644   26.10000   5.590  -2.043    15.80    -5.837     7.370   -0.103
 11125.580   26.10000   5.620  -2.301    14.10    -5.897     7.575    0.102
 13251.144   26.10000   9.410   0.860    50.30    -5.421     8.036    0.562
average abundance =  7.473     std. deviation =  0.357     #lines =   5
E.P. correlation:  slope =   0.178  intercept =   6.326  corr. coeff. =   0.832
R.W. correlation:  slope =   1.279  intercept =  14.907  corr. coeff. =   0.896
wav. correl.:  slope =   2.960D-04  intercept =   4.149  corr. coeff. =   0.964
