HD21209A  4671  65 4.31 0.15 0.54 0.31 -0.41 0.04 253 32 0.598 4.60  0.175 0.030 7.10 no
HD21411   5473  18 4.51 0.03 0.81 0.03 -0.26 0.01 251 33 0.791 4.46  0.615 0.027 5.40 no
HD21693   5430  26 4.37 0.04 0.76 0.04  0.00 0.02 255 36 0.853 4.47  0.618 0.020 5.40 no
HD21749   4723 143 4.40 0.33 0.53 0.74 -0.02 0.08 254 32 0.759 4.70  0.185 0.020 7.01 no
HD21938   5778  18 4.38 0.02 0.99 0.03 -0.47 0.01 253 33 0.813 4.31  1.092 0.025 4.71 no
HD22049   5153  42 4.53 0.07 0.90 0.09 -0.11 0.03 253 34 0.855 4.66  0.327 0.002 6.18 yes
HD22610   5043  43 4.44 0.09 0.88 0.10 -0.22 0.03 255 34 0.791 4.65  0.283 0.033 6.38 no
HD22879   5857  27 4.46 0.02 1.23 0.06 -0.83 0.02 222 32 0.738 4.34  1.041 0.018 4.75 no
HD23079   5980  12 4.48 0.02 1.12 0.01 -0.12 0.01 252 35 1.009 4.36  1.378 0.017 4.42 yes
HD23249   5150  51 3.89 0.08 1.01 0.06  0.13 0.04 255 36 0.826 3.66  3.109 0.007 3.74 no
HD23356   5004  60 4.50 0.11 0.87 0.15 -0.17 0.03 256 33 0.719 4.59  0.288 0.011 6.36 no
HD23456   6178  18 4.56 0.03 1.38 0.03 -0.32 0.01 237 34 1.027 4.33  1.737 0.020 4.15 no
HD24331   4965  46 4.51 0.09 0.53 0.14 -0.31 0.02 254 32 0.676 4.58  0.264 0.020 6.48 no
HD24892   5363  15 3.99 0.04 0.88 0.02 -0.32 0.01 256 33 0.771 3.81  2.431 0.027 3.94 no
HD25105   5316  31 4.47 0.06 0.77 0.06 -0.15 0.02 256 33 0.805 4.54  0.461 0.027 5.75 no
HD25120   5134  39 4.47 0.08 0.87 0.07 -0.18 0.02 252 32 0.749 4.56  0.354 0.021 6.10 no
HD25565   5212  52 4.47 0.09 0.80 0.10  0.03 0.03 257 34 0.935 4.67  0.367 0.038 6.03 no
HD25673   5136  37 4.47 0.07 0.56 0.11 -0.50 0.02 257 33 0.767 4.71  0.257 0.055 6.45 no
HD26965A  5153  38 4.39 0.08 0.36 0.13 -0.31 0.03 251 33 0.670 4.45  0.418 0.004 5.92 no
HD27063   5767  14 4.44 0.03 0.94 0.02  0.05 0.01 253 35 1.073 4.56  0.804 0.034 5.04 no
HD27894   4952 105 4.39 0.20 0.78 0.35  0.20 0.08 255 36 0.716 4.50  0.336 0.033 6.22 yes
HD28185   5667  23 4.42 0.04 0.94 0.03  0.21 0.02 254 35 0.983 4.39  1.011 0.037 4.81 yes
HD28471   5745  14 4.37 0.01 0.95 0.02 -0.05 0.01 251 34 0.937 4.36  1.097 0.024 4.71 no
HD28701   5710  12 4.41 0.02 0.95 0.02 -0.32 0.01 253 33 0.840 4.29  1.138 0.023 4.68 no
HD28821   5660  13 4.38 0.01 0.88 0.02 -0.12 0.01 256 35 0.878 4.33  1.054 0.033 4.77 no
HD30278   5394  29 4.39 0.04 0.72 0.05 -0.17 0.02 260 32 0.779 4.43  0.606 0.014 5.44 no
HD30306   5529  26 4.32 0.04 0.89 0.04  0.17 0.02 259 35 0.912 4.33  0.988 0.022 4.87 no
HD31527   5898  13 4.45 0.02 1.09 0.01 -0.17 0.01 257 35 0.962 4.38  1.196 0.027 4.59 no
HD31560   4751  86 4.33 0.19 0.64 0.32 -0.07 0.04 254 33 0.681 4.61  0.209 0.014 6.86 no
HD31822   6042  16 4.57 0.03 1.15 0.02 -0.19 0.01 251 33 1.106 4.56  1.003 0.035 4.76 no
HD32724   5818  13 4.26 0.02 1.14 0.01 -0.17 0.01 255 35 0.958 4.14  1.967 0.033 4.06 no
HD33725   5274  30 4.41 0.05 0.71 0.06 -0.17 0.02 253 32 0.747 4.45  0.501 0.030 5.68 no
HD34449   5848  17 4.50 0.03 0.92 0.02 -0.09 0.01 254 34 1.035 4.55  0.851 0.025 4.97 no
HD34688   5169  39 4.44 0.06 0.70 0.09 -0.20 0.02 255 34 0.801 4.61  0.347 0.047 6.11 no
HD35854   4928  56 4.46 0.11 0.54 0.17 -0.13 0.03 251 34 0.672 4.54  0.281 0.012 6.43 no
HD36003   4647  88 4.31 0.21 0.42 0.55 -0.20 0.06 253 30 0.604 4.59  0.181 0.010 7.08 no
HD36108   5916  12 4.33 0.03 1.21 0.01 -0.21 0.01 254 35 0.983 4.18  1.985 0.025 4.04 no
HD36379   6030  14 4.30 0.02 1.29 0.02 -0.17 0.01 252 35 1.052 4.17  2.326 0.031 3.85 no
HD37962   5718  15 4.48 0.04 0.84 0.02 -0.20 0.01 253 33 0.894 4.45  0.837 0.022 5.01 no
HD37986   5507  38 4.29 0.06 0.92 0.05  0.26 0.03 253 36 0.935 4.43  0.771 0.022 5.14 no
HD38277   5871  10 4.34 0.02 1.10 0.01 -0.07 0.01 258 34 1.006 4.21  1.824 0.026 4.14 no
HD38382   6082  19 4.45 0.02 1.18 0.02  0.03 0.01 256 35 1.125 4.40  1.521 0.016 4.30 no
HD38858   5733  12 4.51 0.01 0.94 0.02 -0.22 0.01 251 33 0.897 4.46  0.835 0.016 5.01 no
HD38973   6016  17 4.42 0.02 1.14 0.02  0.05 0.01 257 35 1.092 4.37  1.494 0.013 4.33 no
HD39091   6003  17 4.42 0.03 1.12 0.02  0.09 0.01 254 34 1.097 4.38  1.473 0.007 4.35 yes
HD39194   5205  23 4.53 0.05 0.37 0.09 -0.61 0.02 251 31 0.587 4.47  0.363 0.017 6.05 no
HD40105   5137  36 3.85 0.05 0.97 0.05  0.06 0.02 249 34 0.810 3.68  2.905 0.017 3.82 no
HD40307   4977  59 4.47 0.16 0.53 0.20 -0.31 0.03 253 33 0.767 4.71  0.228 0.006 6.63 no
HD40397   5527  20 4.39 0.04 0.83 0.03 -0.13 0.01 257 34 0.830 4.40  0.755 0.019 5.16 no
HD44120   6052  15 4.25 0.02 1.31 0.01  0.12 0.01 254 35 1.241 4.16  2.822 0.016 3.64 no
HD44420   5818  22 4.37 0.03 1.06 0.03  0.29 0.02 257 34 1.069 4.37  1.244 0.033 4.56 no
HD44447   5999  14 4.37 0.02 1.26 0.02 -0.22 0.01 248 34 1.002 4.26  1.783 0.014 4.14 no
