linelist,teff,tefferr,logg,loggerr,feh,feherr,vt,vterr,loggastero,dloggastero,loggLC,dloggLC,convergence,fixteff,fixlogg,fixfeh,fixvt,outlier,weights,model,refine,EPcrit,RWcrit,ABdiffcrit
ksi Aql,4834,42,2.65,0.10,-0.14,0.03,1.53,0.04,2.87,0.10,3.03,0.10,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
mu Leo,4605,94,2.61,0.26,0.25,0.06,1.64,0.11,2.92,0.26,3.10,0.26,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
ome Ser,4928,35,2.69,0.06,-0.11,0.03,1.55,0.04,2.87,0.06,3.03,0.06,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
omi CrB,4882,40,2.64,0.10,-0.17,0.03,1.55,0.04,2.84,0.10,3.00,0.10,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
omi UMa,5499,52,3.36,0.07,-0.01,0.05,1.98,0.06,3.32,0.07,3.44,0.07,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
Qatar-2,4637,316,4.23,0.61,0.09,0.17,0.63,0.83,4.53,0.62,4.70,0.63,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
SAND364,4457,104,2.26,0.20,-0.04,0.06,1.60,0.11,2.63,0.20,2.81,0.21,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
TYC+1422-614-1,4908,41,2.90,0.12,-0.07,0.03,1.57,0.05,3.09,0.12,3.25,0.12,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
WASP-37,5917,72,4.45,0.15,-0.23,0.05,0.59,0.13,4.25,0.15,4.34,0.15,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
WASP-44,5612,80,4.47,0.30,0.17,0.06,1.32,0.13,4.39,0.30,4.50,0.30,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
WASP-52,5197,83,4.47,0.30,0.15,0.05,1.16,0.14,4.55,0.30,4.68,0.30,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
