ALL abundances NOT listed below differ from solar by  -0.04 dex
#  linelist/HATS-1_rv2.moog - SNR: 155                                          
Teff= 5959   log g= 4.59                              vt= 1.55 M/H=-0.04        

Abundance Results for Species Fe I         (input abundance =   7.430)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  5534.850   26.10000   3.250  -2.792    59.00    -4.972     7.338   -0.013
  5991.380   26.10000   3.150  -3.541    30.60    -5.292     7.414    0.063
  6084.110   26.10000   3.200  -3.776    19.60    -5.492     7.416    0.066
  6113.320   26.10000   3.220  -4.112    11.50    -5.726     7.482    0.131
  6149.250   26.10000   3.890  -2.719    36.70    -5.224     7.404    0.053
  6238.390   26.10000   3.890  -2.526    44.90    -5.143     7.374    0.023
  6239.940   26.10000   3.890  -3.452    15.40    -5.608     7.585    0.235
  6247.560   26.10000   3.890  -2.345    44.40    -5.148     7.181   -0.169
  6369.460   26.10000   2.890  -4.131    14.50    -5.643     7.312   -0.039
  6407.290   26.10000   3.890  -2.897    24.20    -5.423     7.288   -0.063
  6416.930   26.10000   3.890  -2.623    34.50    -5.270     7.252   -0.099
  6432.690   26.10000   2.890  -3.570    43.40    -5.171     7.440    0.090
  6442.970   26.10000   5.550  -2.399     3.80    -6.229     7.313   -0.037
  6456.390   26.10000   3.900  -2.106    61.80    -5.019     7.273   -0.078
  6516.090   26.10000   2.890  -3.277    52.00    -5.098     7.309   -0.042
average abundance =  7.351     std. deviation =  0.121     #lines =  25
E.P. correlation:  slope =  -0.019  intercept =   7.414  corr. coeff. =  -0.091
R.W. correlation:  slope =  -0.111  intercept =   6.766  corr. coeff. =  -0.328
wav. correl.:  slope =   1.717D-05  intercept =   7.250  corr. coeff. =   0.076
