ALL abundances NOT listed below differ from solar by  -0.04 dex
#  linelist/HATS-1_rv2.moog - SNR: 155                                          
Teff= 6459   log g= 4.59                              vt= 1.05 M/H=-0.04        

Abundance Results for Species Fe I         (input abundance =   7.430)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  5641.440   26.00000   4.260  -0.974    56.70    -4.998     7.688   -0.090
  5649.990   26.00000   5.100  -0.792    30.00    -5.275     7.642   -0.135
  5651.470   26.00000   4.470  -1.770    14.30    -5.597     7.683   -0.095
  5652.320   26.00000   4.260  -1.757    24.60    -5.361     7.802    0.024
  5653.870   26.00000   4.390  -1.408    30.30    -5.271     7.697   -0.080
  5661.350   26.00000   4.280  -1.834    19.80    -5.456     7.764   -0.014
  5662.520   26.00000   4.180  -0.607    77.10    -4.866     7.630   -0.147
  5667.520   26.00000   4.180  -1.298    43.90    -5.111     7.697   -0.081
  5679.030   26.00000   4.650  -0.762    54.90    -5.015     7.739   -0.038
  5680.240   26.00000   4.190  -2.337     8.50    -5.825     7.748   -0.030
  5701.550   26.00000   2.560  -2.168    70.70    -4.907     7.760   -0.018
  5715.090   26.00000   4.280  -0.852    63.30    -4.956     7.707   -0.071
  5720.900   26.00000   4.550  -1.813    10.80    -5.724     7.646   -0.131
  5731.770   26.00000   4.260  -1.128    47.00    -5.086     7.652   -0.125
  5738.240   26.00000   4.220  -2.171    14.70    -5.591     7.881    0.103
  5741.850   26.00000   4.260  -1.631    25.60    -5.351     7.694   -0.084
  5752.040   26.00000   4.550  -0.922    50.70    -5.055     7.751   -0.027
  5852.220   26.00000   4.550  -1.194    33.70    -5.240     7.685   -0.093
  5853.150   26.00000   1.490  -5.146     7.60    -5.887     8.133    0.356
  5855.080   26.00000   4.610  -1.537    12.00    -5.688     7.470   -0.307
  5856.090   26.00000   4.290  -1.579    30.20    -5.288     7.775   -0.002
  5862.360   26.00000   4.550  -0.409    81.50    -4.857     7.758   -0.020
  5902.480   26.00000   4.590  -1.805    18.30    -5.509     7.945    0.167
  5905.680   26.00000   4.650  -0.780    49.10    -5.080     7.653   -0.125
  5916.260   26.00000   2.450  -2.924    49.10    -5.081     7.935    0.158
  5927.790   26.00000   4.650  -1.062    36.30    -5.213     7.682   -0.095
  5929.680   26.00000   4.550  -1.217    42.70    -5.143     7.884    0.106
  5930.190   26.00000   4.650  -0.331    72.50    -4.913     7.603   -0.175
  5934.660   26.00000   3.930  -1.095    69.40    -4.932     7.781    0.003
  5956.700   26.00000   0.860  -4.532    33.70    -5.247     7.787    0.009
  5983.690   26.00000   4.550  -0.724    58.20    -5.012     7.684   -0.093
  5984.820   26.00000   4.730  -0.340    73.10    -4.913     7.681   -0.097
  5987.070   26.00000   4.790  -0.482    61.10    -4.991     7.670   -0.108
  6005.550   26.00000   2.590  -3.487    16.10    -5.572     7.820    0.042
  6024.060   26.00000   4.550  -0.129    98.10    -4.788     7.707   -0.071
  6034.040   26.00000   4.310  -2.314     5.50    -6.040     7.606   -0.171
  6035.340   26.00000   4.290  -2.484     3.80    -6.201     7.588   -0.189
  6054.080   26.00000   4.370  -2.245     4.50    -6.129     7.496   -0.282
  6056.010   26.00000   4.730  -0.493    64.00    -4.976     7.686   -0.092
  6078.490   26.00000   4.790  -0.369    59.90    -5.006     7.531   -0.247
  6079.010   26.00000   4.650  -1.012    53.70    -5.054     7.960    0.183
  6082.720   26.00000   2.220  -3.574    18.10    -5.526     7.640   -0.138
  6094.380   26.00000   4.650  -1.574    14.60    -5.621     7.635   -0.142
  6096.670   26.00000   3.980  -1.782    31.10    -5.292     7.727   -0.051
  6098.250   26.00000   4.560  -1.763    12.30    -5.695     7.658   -0.119
  6120.250   26.00000   0.920  -5.902     2.80    -6.340     7.900    0.122
  6127.910   26.00000   4.140  -1.421    38.90    -5.197     7.669   -0.108
  6151.620   26.00000   2.180  -3.302    41.20    -5.174     7.889    0.112
  6157.730   26.00000   4.080  -1.242    62.70    -4.992     7.904    0.126
  6159.380   26.00000   4.610  -1.886    11.40    -5.733     7.783    0.006
  6165.360   26.00000   4.140  -1.508    37.80    -5.212     7.731   -0.047
  6173.340   26.00000   2.220  -2.881    61.20    -5.004     7.933    0.155
  6180.210   26.00000   2.730  -2.636    45.40    -5.134     7.797    0.020
  6187.990   26.00000   3.940  -1.626    38.20    -5.209     7.683   -0.095
  6200.320   26.00000   2.610  -2.401    65.40    -4.977     7.886    0.108
  6213.440   26.00000   2.220  -2.584    67.30    -4.965     7.766   -0.012
  6219.290   26.00000   2.200  -2.468    79.50    -4.893     7.891    0.113
  6220.790   26.00000   3.880  -2.337    11.60    -5.729     7.613   -0.164
  6226.740   26.00000   3.880  -2.075    21.10    -5.470     7.676   -0.101
  6229.240   26.00000   2.850  -2.873    30.40    -5.312     7.811    0.033
  6232.650   26.00000   3.650  -1.244    74.50    -4.923     7.784    0.006
  6240.650   26.00000   2.220  -3.298    39.90    -5.194     7.890    0.112
  6265.140   26.00000   2.180  -2.563    76.10    -4.916     7.897    0.120
  6270.230   26.00000   2.860  -2.576    42.50    -5.169     7.788    0.010
  6290.980   26.00000   4.730  -0.580    72.00    -4.941     7.894    0.116
  6297.800   26.00000   2.220  -2.779    68.80    -4.962     7.989    0.211
  6315.810   26.00000   4.080  -1.651    46.90    -5.129     8.000    0.223
  6322.690   26.00000   2.590  -2.372    70.20    -4.955     7.926    0.148
  6335.340   26.00000   2.200  -2.343    89.70    -4.849     7.961    0.184
  6336.830   26.00000   3.690  -0.862   112.40    -4.751     8.010    0.233
  6358.680   26.00000   0.860  -3.909    69.60    -4.961     7.913    0.136
  6380.750   26.00000   4.190  -1.325    46.20    -5.140     7.753   -0.025
