ALL abundances NOT listed below differ from solar by  -0.04 dex
#  linelist/HATS-1_rv2.moog - SNR: 155                                          
Teff= 5959   log g= 4.59                              vt= 1.05 M/H=-0.04        

Abundance Results for Species Fe I         (input abundance =   7.430)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  6220.790   26.00000   3.880  -2.337    11.60    -5.729     7.314   -0.114
  6226.740   26.00000   3.880  -2.075    21.10    -5.470     7.372   -0.056
  6229.240   26.00000   2.850  -2.873    30.40    -5.312     7.427   -0.001
  6232.650   26.00000   3.650  -1.244    74.50    -4.923     7.406   -0.022
  6240.650   26.00000   2.220  -3.298    39.90    -5.194     7.453    0.024
  6265.140   26.00000   2.180  -2.563    76.10    -4.916     7.415   -0.013
  6270.230   26.00000   2.860  -2.576    42.50    -5.169     7.395   -0.034
  6290.980   26.00000   4.730  -0.580    72.00    -4.941     7.593    0.164
  6297.800   26.00000   2.220  -2.779    68.80    -4.962     7.519    0.090
  6315.810   26.00000   4.080  -1.651    46.90    -5.129     7.687    0.259
  6322.690   26.00000   2.590  -2.372    70.20    -4.955     7.481    0.052
  6335.340   26.00000   2.200  -2.343    89.70    -4.849     7.467    0.038
  6336.830   26.00000   3.690  -0.862   112.40    -4.751     7.604    0.176
  6358.680   26.00000   0.860  -3.909    69.60    -4.961     7.340   -0.089
  6380.750   26.00000   4.190  -1.325    46.20    -5.140     7.447    0.019
  6385.720   26.00000   4.730  -1.836    13.10    -5.688     7.657    0.229
  6392.540   26.00000   2.280  -3.948    13.90    -5.663     7.492    0.063
  6430.850   26.00000   2.180  -2.133   101.00    -4.804     7.422   -0.007
  6481.880   26.00000   2.280  -2.933    55.80    -5.065     7.451    0.023
  6498.940   26.00000   0.960  -4.632    33.40    -5.289     7.407   -0.022
  6581.210   26.00000   1.490  -4.713    11.50    -5.758     7.385   -0.043
  6593.880   26.00000   2.430  -2.384    83.20    -4.899     7.572    0.143
  6608.030   26.00000   2.280  -3.973    10.30    -5.807     7.352   -0.077
  6609.120   26.00000   2.560  -2.634    56.00    -5.072     7.411   -0.018
  6625.020   26.00000   1.010  -5.288    11.30    -5.768     7.481    0.052
  6627.550   26.00000   4.550  -1.479    21.90    -5.481     7.404   -0.025
  6646.940   26.00000   2.610  -3.919     7.40    -5.953     7.452    0.024
  6653.860   26.00000   4.150  -2.414     7.80    -5.931     7.430    0.001
  6699.150   26.00000   4.590  -2.110     7.00    -5.981     7.484    0.056
  6703.570   26.00000   2.760  -3.026    33.10    -5.306     7.530    0.102
  6705.110   26.00000   4.610  -1.060    39.60    -5.229     7.421   -0.007
  6710.320   26.00000   1.490  -4.818    10.70    -5.797     7.446    0.017
  6713.050   26.00000   4.610  -1.520    13.90    -5.684     7.248   -0.180
  6713.200   26.00000   4.140  -2.445     9.80    -5.836     7.561    0.132
  6713.740   26.00000   4.790  -1.429    10.80    -5.794     7.195   -0.233
  6725.360   26.00000   4.100  -2.191     9.90    -5.832     7.273   -0.156
  6732.070   26.00000   4.580  -2.152     8.80    -5.884     7.625    0.197
  6733.150   26.00000   4.640  -1.433    16.70    -5.606     7.286   -0.143
  6739.520   26.00000   1.560  -4.906     9.60    -5.846     7.548    0.120
  6745.110   26.00000   4.580  -2.098     9.70    -5.842     7.617    0.188
  6745.970   26.00000   4.080  -2.661     6.80    -5.997     7.543    0.115
  6750.160   26.00000   2.420  -2.617    68.00    -4.997     7.489    0.060
  6752.710   26.00000   4.640  -1.238    30.10    -5.351     7.432    0.003
  6786.860   26.00000   4.190  -1.892    18.40    -5.567     7.379   -0.049
  6793.260   26.00000   4.580  -1.909     6.40    -6.026     7.228   -0.201
  6806.850   26.00000   2.730  -3.107    21.90    -5.493     7.310   -0.118
average abundance =  7.429     std. deviation =  0.099     #lines = 202
E.P. correlation:  slope =  -0.000  intercept =   7.429  corr. coeff. =  -0.003
R.W. correlation:  slope =  -0.000  intercept =   7.426  corr. coeff. =  -0.002
wav. correl.:  slope =  -2.747D-06  intercept =   7.444  corr. coeff. =  -0.016

Abundance Results for Species Fe II        (input abundance =   7.430)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4923.930   26.10000   2.890  -1.548   138.00    -4.552     7.302   -0.127
  5132.670   26.10000   2.810  -4.011    17.90    -5.457     7.297   -0.132
  5197.570   26.10000   3.230  -2.295    85.50    -4.784     7.562    0.133
  5234.630   26.10000   3.220  -2.237    76.90    -4.833     7.317   -0.113
  5256.940   26.10000   2.890  -4.023    30.40    -5.238     7.722    0.293
  5264.810   26.10000   3.230  -3.093    46.00    -5.059     7.481    0.052
  5284.110   26.10000   2.890  -3.132    57.00    -4.967     7.451    0.022
  5414.070   26.10000   3.220  -3.572    24.30    -5.348     7.416   -0.014
  5425.250   26.10000   3.200  -3.236    41.70    -5.114     7.487    0.058
  5525.120   26.10000   3.270  -4.000     9.50    -5.765     7.351   -0.078
  5534.850   26.10000   3.250  -2.792    59.00    -4.972     7.480    0.051
  5991.380   26.10000   3.150  -3.541    30.60    -5.292     7.465    0.036
  6084.110   26.10000   3.200  -3.776    19.60    -5.492     7.445    0.015
  6113.320   26.10000   3.220  -4.112    11.50    -5.726     7.497    0.067
  6149.250   26.10000   3.890  -2.719    36.70    -5.224     7.472    0.043
  6238.390   26.10000   3.890  -2.526    44.90    -5.143     7.465    0.036
  6239.940   26.10000   3.890  -3.452    15.40    -5.608     7.607    0.178
  6247.560   26.10000   3.890  -2.345    44.40    -5.148     7.271   -0.158
  6369.460   26.10000   2.890  -4.131    14.50    -5.643     7.331   -0.099
  6407.290   26.10000   3.890  -2.897    24.20    -5.423     7.326   -0.103
  6416.930   26.10000   3.890  -2.623    34.50    -5.270     7.314   -0.115
  6432.690   26.10000   2.890  -3.570    43.40    -5.171     7.524    0.095
  6442.970   26.10000   5.550  -2.399     3.80    -6.229     7.319   -0.110
  6456.390   26.10000   3.900  -2.106    61.80    -5.019     7.412   -0.017
  6516.090   26.10000   2.890  -3.277    52.00    -5.098     7.420   -0.009
average abundance =  7.429     std. deviation =  0.109     #lines =  25
E.P. correlation:  slope =  -0.042  intercept =   7.572  corr. coeff. =  -0.228
R.W. correlation:  slope =   0.030  intercept =   7.590  corr. coeff. =   0.100
wav. correl.:  slope =  -2.492D-05  intercept =   7.575  corr. coeff. =  -0.122
