ALL abundances NOT listed below differ from solar by   0.17 dex
# Wavelength	Ele	  excit	  log gf			 EW                                         
          Teff= 6556          log g= 4.00             vt= 2.57 M/H= 0.17        

Abundance Results for Species Fe I         (input abundance =   7.64)
wavelength        EP     logGF        EW     logRW     abund     del avg
  16165.03      6.32     0.459     158.7     -5.01      7.83        0.14
  16171.93      6.38    -0.467      31.1     -5.72      7.73        0.05
  16174.98      6.38     0.026      68.0     -5.38      7.67       -0.02
  16177.99      6.38    -0.648      31.5     -5.71      7.92        0.24
  16195.06      6.39     0.258      68.7     -5.37      7.45       -0.24
  16198.50      5.41    -0.684      89.6     -5.26      7.77        0.09
  16203.33      6.32    -1.029      21.8     -5.87      8.07        0.39
  16204.25      6.32     0.072      79.8     -5.31      7.68       -0.01
  16207.75      6.32     0.247     105.1     -5.19      7.69        0.01
  16213.00      6.32    -0.613      15.0     -6.03      7.48       -0.21
  16213.54      6.28    -0.003      79.1     -5.31      7.71        0.03
  16225.62      6.38    -0.041      55.6     -5.47      7.62       -0.07
  16227.15      6.24    -1.018       8.3     -6.29      7.55       -0.14
  16231.65      6.38     0.314      98.7     -5.22      7.62       -0.06
  16235.97      5.92    -0.391      56.5     -5.46      7.61       -0.08
  16240.87      6.32    -1.152      17.1     -5.98      8.08        0.39
  16245.76      6.32    -0.906      14.6     -6.05      7.76        0.07
  16246.46      6.28    -0.291      44.9     -5.56      7.67       -0.02
  16252.55      6.32    -0.543      28.8     -5.75      7.72        0.04
  16272.47      6.28    -0.859      16.9     -5.98      7.75        0.06
  16284.77      6.40     0.045      79.8     -5.31      7.76        0.08
  16292.84      5.92    -0.578      40.5     -5.60      7.61       -0.08
  16331.53      5.98    -0.613      35.4     -5.66      7.62       -0.07
  16333.14      5.64    -1.504      16.8     -5.99      7.86        0.18
  16345.50      6.47    -0.742      15.9     -6.01      7.75        0.07
  16366.34      6.36    -0.555      37.0     -5.65      7.89        0.21
  16377.39      6.37    -0.484      23.9     -5.84      7.61       -0.08
  16384.14      6.36    -0.385      23.6     -5.84      7.50       -0.19
  16394.39      5.96     0.026      93.9     -5.24      7.54       -0.14
  16404.62      6.36     0.128      88.9     -5.27      7.72        0.03
  16412.97      6.29    -0.438      20.1     -5.91      7.42       -0.27
  16436.62      5.92    -0.508      63.4     -5.41      7.79        0.10
  16440.40      6.29    -0.367      57.4     -5.46      7.89        0.20
  16444.82      5.83     0.223     163.4     -5.00      7.73        0.04
  16466.92      6.39     0.007      64.7     -5.41      7.66       -0.02
  16474.08      6.02    -0.566      34.8     -5.68      7.60       -0.09
  16521.51      6.29    -0.672      17.5     -5.98      7.58       -0.10
  16522.08      6.29    -0.193      64.8     -5.41      7.79        0.10
  16524.47      6.34     0.314     119.1     -5.14      7.73        0.05
  16539.20      6.34    -0.332      39.7     -5.62      7.69        0.00
  16541.97      6.34    -0.590      43.6     -5.58      8.00        0.31
  16544.67      6.34    -0.301      37.5     -5.64      7.63       -0.06
  16552.00      6.41    -0.082      52.6     -5.50      7.65       -0.04
  16586.05      5.62    -1.516      12.7     -6.12      7.73        0.04
  16645.88      5.96    -0.272      60.3     -5.44      7.56       -0.13
  16720.73      6.38    -0.578      15.3     -6.04      7.50       -0.18
  16721.47      6.38    -0.479      21.1     -5.90      7.55       -0.13
  16724.69      6.38    -0.859      14.2     -6.07      7.75        0.06
  16753.07      6.38     0.036      61.8     -5.43      7.60       -0.09
  16792.23      6.35    -1.152      11.2     -6.18      7.91        0.22
  16794.21      6.57    -0.578      14.5     -6.06      7.63       -0.06
  16799.65      5.87    -0.672      32.3     -5.72      7.54       -0.14
  16833.06      5.96    -1.223      16.8     -6.00      7.85        0.16
  16843.23      5.87    -1.410      15.5     -6.04      7.92        0.24
  16865.52      6.41    -1.281       9.7     -6.24      8.02        0.33
  16895.20      6.35    -1.023      20.4     -5.92      8.06        0.37
  17009.02      6.62    -0.367      32.2     -5.72      7.84        0.16
  17037.79      6.39    -0.520      32.5     -5.72      7.82        0.13
  17204.30      6.02    -0.170      70.3     -5.39      7.60       -0.09
  17282.29      6.43    -0.193      79.2     -5.34      8.02        0.34
  17293.12      6.32    -0.789      20.5     -5.93      7.81        0.12
  17293.65      6.32    -0.684      20.9     -5.92      7.71        0.02
  17433.64      6.41    -0.484      25.5     -5.83      7.68       -0.01
  17453.84      6.41    -0.684      20.9     -5.92      7.78        0.10
  17683.92      6.34    -0.058      67.4     -5.42      7.72        0.03
  17728.10      6.58     0.063      64.2     -5.44      7.76        0.07
  20363.27      6.07    -0.625      12.5     -6.21      7.22       -0.47
  21816.57      6.78    -0.543      12.9     -6.23      7.75        0.07
  21832.98      6.78    -0.355      20.5     -6.03      7.78        0.09
  21851.38      3.64    -3.590       5.3     -6.62      7.73        0.04
  22257.11      5.06    -0.871     117.4     -5.28      7.86        0.18
  22380.80      5.03    -0.684     110.2     -5.31      7.60       -0.08
  22392.88      5.10    -1.352      36.8     -5.78      7.66       -0.03
  22419.98      6.22    -0.301      41.0     -5.74      7.61       -0.07
  22619.84      4.99    -0.479      13.8     -6.21      6.21       -1.47
  24374.36      6.24     0.017      25.5     -5.98      7.06       -0.62
average abundance =  7.69     std. deviation =  0.25     #lines = 202
E.P. correlation:  slope =  -0.018  intercept =   7.790  corr. coeff. =  -0.070
R.W. correlation:  slope =   0.153  intercept =   8.565  corr. coeff. =   0.247
wav. correl.:  slope =  -7.450D-06  intercept =   7.800  corr. coeff. =  -0.078

Abundance Results for Species Fe II        (input abundance =   7.64)
wavelength        EP     logGF        EW     logRW     abund     del avg
  10427.31      6.08    -1.662      10.1     -6.01      6.85       -0.36
  10501.50      5.55    -1.926      23.1     -5.66      7.09       -0.12
  10862.64      5.59    -2.043      16.9     -5.81      7.06       -0.15
  11125.58      5.62    -2.301      14.7     -5.88      7.25        0.05
  13251.14      9.41     0.860      55.1     -5.38      7.79        0.58
average abundance =  7.21     std. deviation =  0.35     #lines =   5
E.P. correlation:  slope =   0.183  intercept =   6.026  corr. coeff. =   0.865
R.W. correlation:  slope =   1.277  intercept =  14.546  corr. coeff. =   0.875
wav. correl.:  slope =   2.939D-04  intercept =   3.906  corr. coeff. =   0.968
