ALL abundances NOT listed below differ from solar by   0.17 dex
# Wavelength	Ele	  excit	  log gf			 EW                                         
          Teff= 6556          log g= 4.00             vt= 2.57 M/H= 0.17        

Abundance Results for Species Fe I         (input abundance =   7.64)
wavelength        EP     logGF        EW     logRW     abund     del avg
  15980.73      6.26     0.520     160.7     -5.00      7.75        0.18
  16037.82      6.26    -0.120      53.2     -5.48      7.58        0.01
  16040.66      5.87     0.054      98.1     -5.21      7.49       -0.08
  16071.40      6.27    -0.120      69.8     -5.36      7.75        0.18
  16072.24      6.35    -0.508      24.2     -5.82      7.63        0.06
  16100.28      6.35    -0.148      36.6     -5.64      7.48       -0.09
  16156.56      5.96    -0.590      35.0     -5.66      7.58        0.01
  16165.03      6.32     0.459     149.3     -5.03      7.77        0.20
  16171.93      6.38    -0.467      17.4     -5.97      7.45       -0.12
  16174.98      6.38     0.026      67.9     -5.38      7.67        0.10
  16177.99      6.38    -0.648      28.5     -5.75      7.87        0.30
  16195.06      6.39     0.258      58.4     -5.44      7.35       -0.22
  16198.50      5.41    -0.684      79.8     -5.31      7.70        0.12
  16203.33      6.32    -1.029      15.8     -6.01      7.92        0.35
  16204.25      6.32     0.072      76.5     -5.33      7.65        0.08
  16207.75      6.32     0.247     101.0     -5.21      7.66        0.09
  16213.00      6.32    -0.613      13.5     -6.08      7.43       -0.14
  16213.54      6.28    -0.003      69.1     -5.37      7.63        0.06
  16225.62      6.38    -0.041      40.2     -5.61      7.44       -0.13
  16227.15      6.24    -1.018       7.9     -6.31      7.52       -0.05
  16231.65      6.38     0.314      91.8     -5.25      7.57        0.00
  16235.97      5.92    -0.391      51.6     -5.50      7.55       -0.02
  16240.87      6.32    -1.152      13.5     -6.08      7.97        0.40
  16245.76      6.32    -0.906      11.4     -6.15      7.64        0.07
  16246.46      6.28    -0.291      43.8     -5.57      7.65        0.08
  16252.55      6.32    -0.543      24.0     -5.83      7.63        0.06
  16272.47      6.28    -0.859      12.1     -6.13      7.59        0.02
  16284.77      6.40     0.045      57.3     -5.45      7.56       -0.01
  16292.84      5.92    -0.578      38.1     -5.63      7.57        0.00
  16331.53      5.98    -0.613      35.0     -5.67      7.61        0.04
  16333.14      5.64    -1.504       9.3     -6.24      7.59        0.02
  16345.50      6.47    -0.742      11.2     -6.16      7.59        0.02
  16366.34      6.36    -0.555      29.6     -5.74      7.78        0.21
  16377.39      6.37    -0.484      19.0     -5.94      7.50       -0.07
  16384.14      6.36    -0.385      19.7     -5.92      7.41       -0.16
  16394.39      5.96     0.026      87.7     -5.27      7.50       -0.07
  16404.62      6.36     0.128      82.8     -5.30      7.67        0.10
  16412.97      6.29    -0.438      16.0     -6.01      7.31       -0.26
  16436.62      5.92    -0.508      61.3     -5.43      7.77        0.20
  16440.40      6.29    -0.367      47.2     -5.54      7.78        0.21
  16444.82      5.83     0.223     161.1     -5.01      7.71        0.14
  16466.92      6.39     0.007      54.0     -5.48      7.56       -0.01
  16474.08      6.02    -0.566      32.1     -5.71      7.55       -0.02
  16521.51      6.29    -0.672      17.2     -5.98      7.58        0.01
  16522.08      6.29    -0.193      56.3     -5.47      7.70        0.13
  16524.47      6.34     0.314     111.3     -5.17      7.68        0.11
  16539.20      6.34    -0.332      34.9     -5.68      7.62        0.05
  16541.97      6.34    -0.590      34.7     -5.68      7.88        0.31
  16544.67      6.34    -0.301      29.2     -5.75      7.50       -0.07
  16552.00      6.41    -0.082      42.9     -5.59      7.54       -0.03
  16586.05      5.62    -1.516      10.7     -6.19      7.65        0.08
  16645.88      5.96    -0.272      58.7     -5.45      7.54       -0.03
  16720.73      6.38    -0.578      10.5     -6.20      7.33       -0.24
  16721.47      6.38    -0.479      21.0     -5.90      7.55       -0.02
  16724.69      6.38    -0.859      12.4     -6.13      7.69        0.11
  16753.07      6.38     0.036      49.0     -5.53      7.47       -0.10
  16792.23      6.35    -1.152       5.0     -6.53      7.54       -0.03
  16794.21      6.57    -0.578      13.1     -6.11      7.58        0.01
  16799.65      5.87    -0.672      29.2     -5.76      7.49       -0.08
  16833.06      5.96    -1.223       9.5     -6.25      7.58        0.01
  16843.23      5.87    -1.410      10.3     -6.21      7.73        0.16
  16865.52      6.41    -1.281       6.9     -6.39      7.87        0.30
  16895.20      6.35    -1.023      11.4     -6.17      7.79        0.22
  17009.02      6.62    -0.367      23.7     -5.86      7.69        0.12
  17037.79      6.39    -0.520      26.7     -5.80      7.72        0.15
  17204.30      6.02    -0.170      41.3     -5.62      7.29       -0.28
  17282.29      6.43    -0.193      68.8     -5.40      7.94        0.36
  17293.12      6.32    -0.789      17.2     -6.00      7.72        0.15
  17293.65      6.32    -0.684      16.8     -6.01      7.61        0.04
  17433.64      6.41    -0.484      21.1     -5.92      7.59        0.02
  17453.84      6.41    -0.684      15.5     -6.05      7.64        0.07
  17683.92      6.34    -0.058      66.4     -5.43      7.71        0.14
  17728.10      6.58     0.063      62.0     -5.46      7.74        0.17
  20363.27      6.07    -0.625      11.5     -6.25      7.18       -0.39
  21816.57      6.78    -0.543      11.0     -6.30      7.68        0.11
  21832.98      6.78    -0.355       9.1     -6.38      7.41       -0.17
  21851.38      3.64    -3.590       4.8     -6.66      7.68        0.11
  22257.11      5.06    -0.871     101.3     -5.34      7.75        0.18
  22380.80      5.03    -0.684     105.4     -5.33      7.57       -0.00
  22392.88      5.10    -1.352      29.1     -5.89      7.54       -0.03
  22419.98      6.22    -0.301      36.7     -5.79      7.55       -0.02
  22619.84      4.99    -0.479      11.5     -6.29      6.13       -1.44
  24374.36      6.24     0.017      23.2     -6.02      7.02       -0.55
average abundance =  7.57     std. deviation =  0.26     #lines = 202
E.P. correlation:  slope =  -0.015  intercept =   7.659  corr. coeff. =  -0.057
R.W. correlation:  slope =   0.215  intercept =   8.822  corr. coeff. =   0.373
wav. correl.:  slope =  -3.183D-07  intercept =   7.575  corr. coeff. =  -0.003

Abundance Results for Species Fe II        (input abundance =   7.64)
wavelength        EP     logGF        EW     logRW     abund     del avg
  10427.31      6.08    -1.662       7.1     -6.17      6.68       -0.36
  10501.50      5.55    -1.926      10.4     -6.00      6.69       -0.35
  10862.64      5.59    -2.043      14.7     -5.87      6.99       -0.05
  11125.58      5.62    -2.301      13.2     -5.93      7.20        0.16
  13251.14      9.41     0.860      45.5     -5.46      7.64        0.60
average abundance =  7.04     std. deviation =  0.40     #lines =   5
E.P. correlation:  slope =   0.193  intercept =   5.798  corr. coeff. =   0.803
R.W. correlation:  slope =   1.424  intercept =  15.425  corr. coeff. =   0.929
wav. correl.:  slope =   3.260D-04  intercept =   3.378  corr. coeff. =   0.947
